"","x"
"1",0
"2",686.6
"3",781.8
"4",977.4
"5",1089.8
"6",976.8
"7",441.8
"8",0.2
"9",0.2
"10",913.2
"11",991.4
"12",1081.4
"13",995.4
"14",514.6
"15",0.6
"16",819.6
"17",976.2
"18",1014.8
"19",1045.4
"20",900.6
"21",454.6
"22",0
"23",807.8
"24",907
"25",1043
"26",1057.2
"27",958.6
"28",680.8
"29",0.4
"30",954.4
"31",1049.6
"32",935.6
"33",1196.4
"34",1032.4
"35",492.8
"36",0
"37",971.6
"38",1021.2
"39",1207.6
"40",1178.2
"41",1046.6
"42",550.8
"43",0.8
"44",921.4
"45",1069
"46",1151.8
"47",1160.6
"48",1025.8
"49",493.2
"50",0
"51",837
"52",948.6
"53",1140.8
"54",1237.6
"55",1095.2
"56",506.6
"57",6.8
"58",957
"59",1092
"60",1311.4
"61",1233
"62",1031.8
"63",461.8
"64",0.2
"65",950.6
"66",1281.4
"67",1292.2
"68",1298
"69",1101.2
"70",506.8
"71",0.6
"72",955.6
"73",1191.6
"74",1324.2
"75",1347.6
"76",1153.8
"77",583.2
"78",0
"79",0
"80",1098.8
"81",1212.4
"82",1277.6
"83",1141.6
"84",569.2
"85",13.2
"86",1076.4
"87",1225.4
"88",1341.8
"89",1450.8
"90",1020.2
"91",708.8
"92",0.2
"93",1035.2
"94",1220.6
"95",1290.8
"96",5
"97",5
"98",304.8
"99",7
"100",959.2
"101",1218.2
"102",1382.2
"103",1408.4
"104",1232.6
"105",550.8
"106",3.6
"107",933.8
"108",1087
"109",1214.2
"110",1321.2
"111",1119.4
"112",535.4
"113",9.6
"114",987.8
"115",1114.4
"116",1256.4
"117",1223.8
"118",1131.8
"119",516.8
"120",13.2
"121",1090.8
"122",5
"123",1273.6
"124",1191.6
"125",1075.2
"126",480.6
"127",1.2
"128",880.8
"129",1223.2
"130",1408.6
"131",1436.6
"132",1181.4
"133",569.8
"134",6.4
"135",963
"136",1126.2
"137",1308.8
"138",1291.4
"139",1177.4
"140",542.6
"141",9
"142",4.4
"143",1040.4
"144",1132
"145",1229
"146",1007.8
"147",584.4
"148",9
"149",965.8
"150",1002
"151",1307
"152",1386
"153",1107.6
"154",713.8
"155",1.4
"156",985
"157",1143.8
"158",1341.2
"159",1392
"160",1251
"161",631
"162",0.4
"163",0.4
"164",1200
"165",1220
"166",1312.6
"167",1173.4
"168",584
"169",9.2
"170",9
"171",1016
"172",1125.8
"173",1291.8
"174",1120.4
"175",576
"176",4.4
"177",805.8
"178",979.8
"179",1259.4
"180",1390.6
"181",1264.6
"182",623.8
"183",1.4
"184",0.8
"185",983.6
"186",1186.2
"187",1325.6
"188",1212
"189",663
"190",4.4
"191",1006.8
"192",1111
"193",1216.2
"194",1354.4
"195",1169.6
"196",596.6
"197",10.2
"198",937.2
"199",1049
"200",1222.4
"201",1320.8
"202",31.4
"203",572.4
"204",13.8
"205",838.2
"206",957.8
"207",1261.4
"208",1363.4
"209",1119.2
"210",620.6
"211",18
"212",1015.4
"213",1145.8
"214",1110.8
"215",1227.4
"216",1113.4
"217",597
"218",0.6
"219",919.6
"220",5.2
"221",1225.6
"222",1290.8
"223",1177.8
"224",624.4
"225",10.4
"226",1016.6
"227",1125
"228",1236.8
"229",1340.8
"230",1082.6
"231",525.8
"232",0
"233",8.2
"234",925.4
"235",1154.8
"236",1204.6
"237",1091.4
"238",521
"239",20.8
"240",924.2
"241",1050.4
"242",1216
"243",1246.2
"244",1334.2
"245",553.2
"246",2.2
"247",870.2
"248",977.8
"249",1161.4
"250",1279
"251",1173.4
"252",595.8
"253",12.2
"254",1086.6
"255",1199.2
"256",1296.8
"257",1344.6
"258",1129.4
"259",551.8
"260",9
"261",901.4
"262",948.8
"263",1132.8
"264",1196
"265",1065.8
"266",545
"267",22
"268",876.4
"269",1069.6
"270",1194.2
"271",1302.6
"272",1134
"273",606
"274",12.6
