"","Fecha","Unidades"
"1",2018-01-01,0
"2",2018-01-02,244
"3",2018-01-03,346
"4",2018-01-04,546
"5",2018-01-05,541
"6",2018-01-06,480
"7",2018-01-07,0
"8",2018-01-08,1
"9",2018-01-09,738
"10",2018-01-10,781
"11",2018-01-11,922
"12",2018-01-12,788
"13",2018-01-13,436
"14",2018-01-14,1
"15",2018-01-15,831
"16",2018-01-16,864
"17",2018-01-17,888
"18",2018-01-18,866
"19",2018-01-19,690
"20",2018-01-20,374
"21",2018-01-21,0
"22",2018-01-22,746
"23",2018-01-23,788
"24",2018-01-24,875
"25",2018-01-25,872
"26",2018-01-26,792
"27",2018-01-27,412
"28",2018-01-28,1
"29",2018-01-29,1433
"30",2018-01-30,1390
"31",2018-01-31,1381
"32",2018-02-01,689
"33",2018-02-02,593
"34",2018-02-03,327
"35",2018-02-04,0
"36",2018-02-05,524
"37",2018-02-06,758
"38",2018-02-07,844
"39",2018-02-08,866
"40",2018-02-09,710
"41",2018-02-10,376
"42",2018-02-11,1
"43",2018-02-12,778
"44",2018-02-13,814
"45",2018-02-14,840
"46",2018-02-15,844
"47",2018-02-16,656
"48",2018-02-17,337
"49",2018-02-18,0
"50",2018-02-19,749
"51",2018-02-20,751
"52",2018-02-21,854
"53",2018-02-22,922
"54",2018-02-23,788
"55",2018-02-24,459
"56",2018-02-25,1
"57",2018-02-26,1083
"58",2018-02-27,1213
"59",2018-02-28,1251
"60",2018-03-01,653
"61",2018-03-02,578
"62",2018-03-03,300
"63",2018-03-04,0
"64",2018-03-05,622
"65",2018-03-06,732
"66",2018-03-07,833
"67",2018-03-08,902
"68",2018-03-09,899
"69",2018-03-10,406
"70",2018-03-11,1
"71",2018-03-12,751
"72",2018-03-13,844
"73",2018-03-14,820
"74",2018-03-15,890
"75",2018-03-16,686
"76",2018-03-17,298
"77",2018-03-18,0
"78",2018-03-19,0
"79",2018-03-20,748
"80",2018-03-21,792
"81",2018-03-22,836
"82",2018-03-23,964
"83",2018-03-24,447
"84",2018-03-25,1
"85",2018-03-26,868
"86",2018-03-27,1183
"87",2018-03-28,1212
"88",2018-03-29,1510
"89",2018-03-30,0
"90",2018-03-31,1264
"91",2018-04-01,0
"92",2018-04-02,523
"93",2018-04-03,555
"94",2018-04-04,752
"95",2018-04-05,882
"96",2018-04-06,770
"97",2018-04-07,402
"98",2018-04-08,0
"99",2018-04-09,734
"100",2018-04-10,761
"101",2018-04-11,850
"102",2018-04-12,844
"103",2018-04-13,670
"104",2018-04-14,160
"105",2018-04-15,0
"106",2018-04-16,683
"107",2018-04-17,726
"108",2018-04-18,771
"109",2018-04-19,844
"110",2018-04-20,688
"111",2018-04-21,380
"112",2018-04-22,1
"113",2018-04-23,760
"114",2018-04-24,925
"115",2018-04-25,988
"116",2018-04-26,1301
"117",2018-04-27,1290
"118",2018-04-28,849
"119",2018-04-29,4
"120",2018-04-30,875
"121",2018-05-01,0
"122",2018-05-02,642
"123",2018-05-03,728
"124",2018-05-04,815
"125",2018-05-05,371
"126",2018-05-06,0
"127",2018-05-07,665
"128",2018-05-08,776
"129",2018-05-09,789
"130",2018-05-10,877
"131",2018-05-11,700
"132",2018-05-12,325
"133",2018-05-13,0
"134",2018-05-14,0
"135",2018-05-15,720
"136",2018-05-16,815
"137",2018-05-17,821
"138",2018-05-18,881
"139",2018-05-19,404
"140",2018-05-20,1
"141",2018-05-21,714
"142",2018-05-22,820
"143",2018-05-23,1016
"144",2018-05-24,1106
"145",2018-05-25,1242
"146",2018-05-26,669
"147",2018-05-27,3
"148",2018-05-28,781
"149",2018-05-29,1319
"150",2018-05-30,1454
"151",2018-05-31,1567
"152",2018-06-01,553
"153",2018-06-02,272
"154",2018-06-03,0
"155",2018-06-04,0
"156",2018-06-05,605
"157",2018-06-06,756
"158",2018-06-07,816
"159",2018-06-08,692
"160",2018-06-09,364
"161",2018-06-10,0
"162",2018-06-11,0
"163",2018-06-12,764
"164",2018-06-13,827
"165",2018-06-14,840
"166",2018-06-15,875
"167",2018-06-16,386
"168",2018-06-17,1
"169",2018-06-18,671
"170",2018-06-19,814
"171",2018-06-20,830
"172",2018-06-21,974
"173",2018-06-22,947
"174",2018-06-23,446
"175",2018-06-24,0
"176",2018-06-25,773
"177",2018-06-26,977
"178",2018-06-27,1039
"179",2018-06-28,1260
"180",2018-06-29,1713
"181",2018-06-30,1290
"182",2018-07-01,0
"183",2018-07-02,0
"184",2018-07-03,578
"185",2018-07-04,608
"186",2018-07-05,772
"187",2018-07-06,834
"188",2018-07-07,188
"189",2018-07-08,0
"190",2018-07-09,664
"191",2018-07-10,719
"192",2018-07-11,853
"193",2018-07-12,863
"194",2018-07-13,895
"195",2018-07-14,430
